Rank,Name,week,DB,MAN %,FP/DB,ZONE %,FP/DB,1-HI/MOF C %,FP/DB,2-HI/MOF O %,FP/DB,COVER 0 %,COVER 1 %,COVER 2 %,COVER 2 MAN %,COVER 3 %,COVER 4 %,COVER 6 %,Season
1,CIN,1,65,0.308,0.55,0.6,0.23,0.308,0.28,0.692,0.34,0.092,0.2,0.338,0.015,0.092,0.031,0.138,2022
2,NYJ,1,62,0.194,0.13,0.726,0.3,0.484,0.19,0.516,0.3,0.048,0.145,0.129,0,0.339,0.21,0.048,2022
3,IND,1,54,0.074,0.28,0.852,0.37,0.537,0.42,0.463,0.24,0,0.074,0.222,0,0.463,0.148,0.019,2022
4,LA,1,49,0.041,0.24,0.939,0.13,0.429,0.06,0.571,0.34,0,0.02,0.184,0.02,0.408,0.245,0.102,2022
5,DAL,1,46,0.174,0.09,0.826,0.16,0.37,0.23,0.63,0.1,0,0.13,0.196,0.043,0.239,0.261,0.13,2022
6,WAS,1,45,0.244,0.57,0.711,0.54,0.4,0.79,0.6,0.51,0,0.2,0.289,0.044,0.2,0.067,0.156,2022
7,JAX,1,45,0.267,0.2,0.667,0.25,0.578,0.29,0.422,0.37,0.022,0.222,0.022,0.022,0.356,0.178,0.111,2022
8,DEN,1,45,0.022,6.68,0.8,0.28,0.4,0.6,0.6,0.26,0,0.022,0.022,0,0.289,0.089,0.4,2022
9,PHI,1,44,0.455,0.5,0.455,0.34,0.432,0.57,0.568,0.5,0.114,0.341,0.114,0,0.068,0.091,0.182,2022
10,ARI,1,44,0.159,0.69,0.818,0.4,0.318,0.47,0.682,0.42,0.045,0.114,0.25,0,0.205,0.318,0.045,2022
11,LV,1,43,0.14,1.05,0.721,0.17,0.488,0.49,0.512,0.29,0,0.14,0.163,0,0.349,0.07,0.14,2022
12,GB,1,43,0.14,0.36,0.767,0.18,0.302,0.35,0.674,0.13,0,0.116,0.14,0.023,0.186,0.163,0.279,2022
13,PIT,1,41,0.415,0.13,0.537,0.29,0.585,0.32,0.39,0.33,0.098,0.293,0.122,0.024,0.293,0.073,0.049,2022
14,KC,1,41,0.317,1.17,0.585,0.6,0.732,0.91,0.268,0.68,0.049,0.22,0.024,0.049,0.488,0.049,0.024,2022
15,HOU,1,41,0.122,0.22,0.878,0.45,0.756,0.53,0.244,0.07,0,0.122,0.024,0,0.634,0.195,0.024,2022
16,NO,1,40,0.35,0.53,0.575,0.35,0.6,0.25,0.35,0.98,0.05,0.275,0.2,0.025,0.325,0.05,0,2022
17,DET,1,39,0.256,1,0.744,0.23,0.462,0.71,0.538,0.18,0.077,0.179,0,0,0.282,0.462,0,2022
18,BUF,1,38,0.105,0.38,0.816,0.63,0.711,0.49,0.289,1.7,0,0.105,0.026,0,0.605,0.053,0.132,2022
19,ATL,1,38,0.132,0.33,0.789,0.36,0.263,0.44,0.711,0.3,0,0.105,0.263,0.026,0.158,0.316,0.053,2022
20,CLE,1,38,0.289,0.52,0.605,0.22,0.579,0.21,0.368,0.43,0.026,0.263,0.026,0,0.316,0.237,0.026,2022
21,MIA,1,36,0.306,0.9,0.694,0.2,0.778,0.5,0.222,0.09,0.028,0.278,0.083,0,0.5,0.111,0,2022
22,TEN,1,35,0.429,0.62,0.486,0.54,0.743,0.68,0.229,0.25,0.029,0.371,0,0.029,0.371,0.057,0.057,2022
23,LAC,1,35,0.286,1.13,0.6,0.56,0.457,0.95,0.543,0.43,0,0.286,0.257,0,0.171,0.114,0.057,2022
24,SF,1,34,0.147,0.15,0.824,0.23,0.529,0.21,0.471,0.2,0,0.147,0.294,0,0.382,0.059,0.088,2022
25,BAL,1,34,0.176,1.08,0.824,0.5,0.588,0.48,0.412,0.77,0.029,0.147,0.029,0,0.441,0.294,0.059,2022
26,NE,1,33,0.242,0.19,0.667,0.22,0.788,0.22,0.212,0.73,0,0.242,0.061,0,0.545,0.061,0,2022
27,MIN,1,33,0.152,0.25,0.758,0.71,0.485,0.57,0.515,0.59,0,0.121,0,0.03,0.364,0.303,0.091,2022
28,CAR,1,32,0.156,0.14,0.813,0.45,0.625,0.29,0.375,1.11,0.031,0.125,0.063,0,0.5,0.125,0.125,2022
29,SEA,1,31,0.097,0.61,0.839,0.58,0.452,1,0.548,0.19,0,0.065,0.032,0.032,0.387,0.097,0.323,2022
30,NYG,1,30,0.267,0.69,0.7,0.47,0.433,0.1,0.567,0.83,0.1,0.167,0.167,0,0.267,0.233,0.033,2022
31,TB,1,29,0.414,0.59,0.517,0.3,0.586,0.5,0.414,0.24,0.034,0.379,0.172,0,0.172,0.172,0,2022
32,CHI,1,23,0.087,2.36,0.913,0.47,0.739,0.77,0.261,0.25,0,0.087,0,0,0.652,0.087,0.174,2022
1,WAS,2,53,0.321,0.67,0.642,0.44,0.358,0.48,0.642,0.52,0.075,0.208,0.321,0.038,0.151,0.075,0.094,2022
2,ARI,2,52,0.327,0.57,0.596,0.22,0.423,0.54,0.577,0.29,0.038,0.288,0.365,0,0.135,0.058,0.038,2022
3,MIA,2,51,0.255,0.88,0.627,0.64,0.451,0.71,0.549,0.87,0.02,0.196,0.078,0.039,0.255,0.137,0.157,2022
4,LAC,2,50,0.22,0.23,0.66,0.37,0.18,0.76,0.82,0.43,0.08,0.14,0.34,0,0.06,0.16,0.1,2022
5,MIN,2,50,0.18,0.34,0.76,0.23,0.32,0.43,0.68,0.15,0.04,0.1,0.08,0.04,0.18,0.36,0.14,2022
